_id,Mes,Magnitud,Tipo_Estacion,Estacion,Zona,Concentraciones_medias_mensuales,Muertes_hombre,Muertes_mujer,Muertes_totales,Total_Concentraciones_medias_mensuales,Indice_Calidad_Aire_CAQI,Indice_Calidad_Aire_Europeo
6742081cd13b2ab27285521f,01/01/2010,Dióxido de azufre,Suburbana,Casa de Campo,Oeste,8,11,12,23,8,Muy Bueno,Bueno
6742081cd13b2ab272855220,01/01/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,14,181,173,354,14.5,Muy Bueno,Bueno
6742081cd13b2ab272855222,01/01/2010,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,9,16,12,28,13.5,Muy Bueno,Bueno
6742081cd13b2ab272855223,01/01/2010,Dióxido de azufre,Urbana de Fondo,Farolillo,Sur,10,36,32,68,9,Muy Bueno,Bueno
6742081cd13b2ab27285522a,01/02/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,14,158,154,312,15,Muy Bueno,Bueno
6742081cd13b2ab27285522c,01/02/2010,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,9,14,11,25,13,Muy Bueno,Bueno
6742081cd13b2ab27285523e,01/04/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,10,157,157,314,10.5,Muy Bueno,Bueno
6742081cd13b2ab272855240,01/04/2010,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,11,13,11,24,12.5,Muy Bueno,Bueno
6742081cd13b2ab272855247,01/05/2010,Dióxido de azufre,Suburbana,Casa de Campo,Oeste,11,9,10,19,11,Muy Bueno,Bueno
6742081cd13b2ab272855248,01/05/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,9,161,150,311,9.25,Muy Bueno,Bueno
6742081cd13b2ab272855249,01/05/2010,Dióxido de azufre,Urbana de Fondo,Sanchinarro,Norte,10,7,6,13,10,Muy Bueno,Bueno
6742081cd13b2ab27285524b,01/05/2010,Dióxido de azufre,Urbana de Fondo,Farolillo,Sur,9,32,28,60,8.5,Muy Bueno,Bueno
6742081cd13b2ab272855252,01/06/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,8,146,139,285,7.75,Muy Bueno,Bueno
6742081cd13b2ab272855253,01/06/2010,Dióxido de azufre,Urbana de Fondo,Sanchinarro,Norte,7,6,5,11,7,Muy Bueno,Bueno
6742081cd13b2ab272855254,01/06/2010,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,7,13,10,23,6,Muy Bueno,Bueno
6742081cd13b2ab27285525c,01/07/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,8,166,157,323,7.5,Muy Bueno,Bueno
6742081cd13b2ab27285525e,01/07/2010,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,6,14,11,25,5,Muy Bueno,Bueno
6742081cd13b2ab272855273,01/09/2010,Dióxido de azufre,Urbana de Fondo,Farolillo,Sur,6,27,26,53,3,Muy Bueno,Bueno
6742081cd13b2ab27285527d,01/10/2010,Dióxido de azufre,Urbana de Fondo,Farolillo,Sur,8,31,28,59,4,Muy Bueno,Bueno
6742081cd13b2ab27285528e,01/12/2010,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,13,175,167,342,12.75,Muy Bueno,Bueno
6742081cd13b2ab27285528f,01/12/2010,Dióxido de azufre,Urbana de Fondo,Sanchinarro,Norte,12,8,7,15,12,Muy Bueno,Bueno
6742081cd13b2ab2728552b6,01/04/2011,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,9,163,153,316,5.5,Muy Bueno,Bueno
6742081cd13b2ab2728552c2,01/05/2011,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,6,16,11,27,6.5,Muy Bueno,Bueno
6742081cd13b2ab2728552d4,01/07/2011,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,7,156,150,306,5.25,Muy Bueno,Bueno
6742081cd13b2ab2728552f1,01/10/2011,Dióxido de azufre,Suburbana,Casa de Campo,Oeste,2,12,10,22,2,Muy Bueno,Bueno
6742081cd13b2ab2728552f2,01/10/2011,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,5,177,162,339,4.75,Muy Bueno,Bueno
6742081cd13b2ab2728552f4,01/10/2011,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,2,18,12,30,3.5,Muy Bueno,Bueno
6742081cd13b2ab272855306,01/12/2011,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,7,197,181,378,9.5,Muy Bueno,Bueno
6742081cd13b2ab27285531c,01/02/2012,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,6,17,16,33,11.5,Muy Bueno,Bueno
6742081cd13b2ab27285532e,01/04/2012,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,3,168,180,348,2.25,Muy Bueno,Bueno
6742081cd13b2ab272855331,01/04/2012,Dióxido de azufre,Urbana de Fondo,Farolillo,Sur,2,41,31,72,2.5,Muy Bueno,Bueno
6742081cd13b2ab272855358,01/08/2012,Dióxido de azufre,Urbana de Fondo,Vallecas,Este,2,14,13,27,1.5,Muy Bueno,Bueno
6742081cd13b2ab272855369,01/10/2012,Dióxido de azufre,Suburbana,Casa de Campo,Oeste,1,11,12,23,1,Muy Bueno,Bueno
6742081cd13b2ab27285536a,01/10/2012,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,3,153,167,320,3.25,Muy Bueno,Bueno
6742081cd13b2ab272855381,01/12/2012,Dióxido de azufre,Urbana de Fondo,Farolillo,Sur,4,43,35,78,4.5,Muy Bueno,Bueno
6742081cd13b2ab272855388,01/01/2013,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,7,187,175,362,6.75,Muy Bueno,Bueno
6742081cd13b2ab272855392,01/02/2013,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,6,162,13,175,6.25,Muy Bueno,Bueno
6742081cd13b2ab2728553b0,01/05/2013,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,3,162,152,314,3.75,Muy Bueno,Bueno
6742081cd13b2ab2728553f6,01/12/2013,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,12,195,185,380,10.75,Muy Bueno,Bueno
6742081cd13b2ab27285540a,01/02/2014,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,7,169,178,347,5.75,Muy Bueno,Bueno
6742081cd13b2ab272855446,01/08/2014,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,5,149,156,305,4.25,Muy Bueno,Bueno
6742081cd13b2ab272855482,01/02/2015,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,6,207,239,446,7.25,Muy Bueno,Bueno
6742081cd13b2ab2728554e6,01/12/2015,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,10,180,200,380,13.25,Muy Bueno,Bueno
6742081cd13b2ab2728554f0,01/01/2016,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,8,176,205,381,10.25,Muy Bueno,Bueno
6742081cd13b2ab2728554f1,01/01/2016,Dióxido de azufre,Urbana de Fondo,Sanchinarro,Norte,16,9,10,19,16,Muy Bueno,Bueno
6742081cd13b2ab272855540,01/09/2016,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,14,139,167,306,8.25,Muy Bueno,Bueno
6742081cd13b2ab272855568,01/01/2017,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,9,225,269,494,8.75,Muy Bueno,Bueno
6742081cd13b2ab272855658,01/01/2019,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,16,204,237,441,14.25,Muy Bueno,Bueno
6742081cd13b2ab272855659,01/01/2019,Dióxido de azufre,Urbana de Fondo,Sanchinarro,Norte,14,11,12,23,14,Muy Bueno,Bueno
6742081cd13b2ab272855662,01/02/2019,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,15,178,205,383,13.75,Muy Bueno,Bueno
6742081cd13b2ab2728556c6,01/12/2019,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,11,167,197,364,9.75,Muy Bueno,Bueno
6742081cd13b2ab272855747,01/01/2021,Dióxido de azufre,Suburbana,Casa de Campo,Oeste,0,14,15,29,0,Muy Bueno,Bueno
6742081cd13b2ab2728557ac,01/11/2021,Dióxido de azufre,Urbana de Fondo,Plaza del Carmen,Interior M30,4,118,134,252,1.75,Muy Bueno,Bueno
6742081cd13b2ab2728557bf,01/01/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,35,8,7,15,47.166666666666664,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728557c0,01/01/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,36,11,12,23,30.5,Muy Bueno,Bueno
6742081cd13b2ab2728557c2,01/01/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,52,181,173,354,39,Muy Bueno,Bueno
6742081cd13b2ab2728557ca,01/01/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,47,16,12,28,52.333333333333336,Bueno,Razonablemente bueno
6742081cd13b2ab2728557cc,01/01/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,48,36,32,68,54.666666666666664,Bueno,Razonablemente bueno
6742081cd13b2ab2728557d7,01/02/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,30,7,6,13,42.666666666666664,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728557d8,01/02/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,34,9,10,19,28,Muy Bueno,Bueno
6742081cd13b2ab2728557da,01/02/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,50,158,154,312,43.2,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728557e2,01/02/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,45,14,11,25,49.333333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728557e4,01/02/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,48,32,29,61,52.666666666666664,Bueno,Razonablemente bueno
6742081cd13b2ab2728557ef,01/03/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,26,7,6,13,37.333333333333336,Muy Bueno,Bueno
6742081cd13b2ab2728557f0,01/03/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,28,9,10,19,23.5,Muy Bueno,Bueno
6742081cd13b2ab2728557f2,01/03/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,47,156,149,305,40,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728557fa,01/03/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,41,13,10,23,44,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728557fc,01/03/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,44,31,28,59,50,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855807,01/04/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,23,7,6,13,33.833333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855808,01/04/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,26,9,11,20,22,Muy Bueno,Bueno
6742081cd13b2ab27285580a,01/04/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,41,157,157,314,37.8,Muy Bueno,Bueno
6742081cd13b2ab272855812,01/04/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,34,13,11,24,36.666666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855814,01/04/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,38,32,29,61,44.666666666666664,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855822,01/05/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,31,161,150,311,30.1,Muy Bueno,Bueno
6742081cd13b2ab27285582a,01/05/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,26,14,10,24,24.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab27285582c,01/05/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,30,32,28,60,34.666666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855838,01/06/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,19,9,9,18,17.5,Muy Bueno,Bueno
6742081cd13b2ab27285583a,01/06/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,32,146,139,285,40.9,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855842,01/06/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,28,13,10,23,33,Muy Bueno,Bueno
6742081cd13b2ab272855844,01/06/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,30,29,26,55,38,Muy Bueno,Bueno
6742081cd13b2ab27285584f,01/07/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,24,7,6,13,36.166666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855852,01/07/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,39,166,157,323,47.3,Muy Bueno,Razonablemente bueno
6742081cd13b2ab27285585a,01/07/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,36,14,11,25,38.333333333333336,Muy Bueno,Bueno
6742081cd13b2ab27285585c,01/07/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,36,33,29,62,48,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855867,01/08/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,22,6,6,12,29.5,Muy Bueno,Bueno
6742081cd13b2ab272855868,01/08/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,21,9,10,19,20,Muy Bueno,Bueno
6742081cd13b2ab27285586a,01/08/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,39,146,146,292,41,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855872,01/08/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,32,13,10,23,34,Muy Bueno,Bueno
6742081cd13b2ab272855874,01/08/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,30,29,27,56,40.333333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855880,01/09/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,31,8,9,17,27.5,Muy Bueno,Bueno
6742081cd13b2ab272855882,01/09/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,53,134,137,271,54.8,Bueno,Razonablemente bueno
6742081cd13b2ab27285588a,01/09/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,43,12,10,22,46.333333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab27285588c,01/09/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,42,27,26,53,36,Muy Bueno,Bueno
6742081cd13b2ab272855897,01/10/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,35,7,6,13,53,Bueno,Razonablemente bueno
6742081cd13b2ab272855898,01/10/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,43,9,10,19,36.5,Muy Bueno,Bueno
6742081cd13b2ab27285589a,01/10/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,64,156,150,306,65.7,Bueno,Razonablemente bueno
6742081cd13b2ab2728558a2,01/10/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,58,13,10,23,60.333333333333336,Bueno,Razonablemente bueno
6742081cd13b2ab2728558af,01/11/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,34,7,6,13,49.833333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab2728558b2,01/11/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,55,158,153,311,57.8,Bueno,Razonablemente bueno
6742081cd13b2ab2728558ba,01/11/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,54,14,11,25,55.666666666666664,Bueno,Razonablemente bueno
6742081cd13b2ab2728558bc,01/11/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,50,32,29,61,59,Bueno,Razonablemente bueno
6742081cd13b2ab2728558c7,01/12/2010,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,35,8,7,15,55,Bueno,Razonablemente bueno
6742081cd13b2ab2728558c8,01/12/2010,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,44,10,11,21,37,Muy Bueno,Bueno
6742081cd13b2ab2728558ca,01/12/2010,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,63,175,167,342,62.4,Bueno,Razonablemente bueno
6742081cd13b2ab2728558d2,01/12/2010,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,53,15,12,27,58.666666666666664,Bueno,Razonablemente bueno
6742081cd13b2ab2728558d4,01/12/2010,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,56,35,31,66,66.66666666666667,Bueno,Razonablemente bueno
6742081cd13b2ab2728558df,01/01/2011,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,35,9,8,17,52.5,Bueno,Razonablemente bueno
6742081cd13b2ab2728558e0,01/01/2011,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,42,13,11,24,34.5,Muy Bueno,Bueno
6742081cd13b2ab2728558e2,01/01/2011,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,57,192,184,376,58.5,Bueno,Razonablemente bueno
6742081cd13b2ab2728558ea,01/01/2011,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,55,19,14,33,57.666666666666664,Bueno,Razonablemente bueno
6742081cd13b2ab2728558ec,01/01/2011,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,56,41,33,74,65.33333333333333,Bueno,Razonablemente bueno
6742081cd13b2ab2728558fa,01/02/2011,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,65,170,157,327,68.2,Bueno,Razonablemente bueno
