Mes;SO2_InteriorM30;SO2_Norte;SO2_Sur;SO2_Este;SO2_Oeste;NO_InteriorM30;NO_Norte;NO_Sur;NO_Este;NO_Oeste;O3_InteriorM30;O3_Norte;O3_Sur;O3_Este;O3_Oeste;Particulas25_InteriorM30;Particulas25_Norte;Particulas25_Sur;Particulas25_Este;Particulas25_Oeste;Particulas10_InteriorM30;Particulas10_Norte;Particulas10_Sur;Particulas10_Este;Particulas10_Oeste;Benceno_InteriorM30;Benceno_Norte;Benceno_Sur;Benceno_Este;Benceno_Oeste;Muertes_InteriorM30;Muertes_Norte;Muertes_Sur;Muertes_Este;Muertes_Oeste;Muertes_Total
01/01/2010;14.5;0;9;13.5;8;39;47.17;54.67;52.33;30.5;0;23.75;0;0;0;6.8;0;0;0;0;11.2;0;0;0;0;0.87;0.5;2.1;0;0.8;354;14;69;28;22;486
01/02/2010;15;0;0;13;0;43.2;42.67;52.67;49.33;28;0;0;0;0;0;0;0;0;0;0;13.8;0;0;0;0;0.9;0.4;1.9;0;0.7;312;13;61;24;20;429
01/03/2010;0;0;0;0;0;40;37.33;50;44;23.5;0;54.25;0;0;60;0;0;0;0;0;23.6;0;0;0;0;0.8;0;1.4;0;0;305;12;59;24;19;420
01/04/2010;10.5;0;0;12.5;0;37.8;33.83;44.67;36.67;22;0;64.25;55.33;0;72;0;0;0;0;0;16.8;0;0;0;0;0;0;0.2;0;0;314;13;61;24;20;432
01/05/2010;9.25;10;8.5;0;11;30.1;0;34.67;24.33;0;63.5;67.75;59.33;73;75;0;0;0;0;0;0;0;0;0;0;0.77;0;0;0;0;311;13;60;24;20;428
01/06/2010;7.75;7;0;6;0;40.9;0;38;33;17.5;54.5;66.75;0;0;71.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284;12;55;22;18;391
01/07/2010;7.5;0;0;5;0;47.3;36.17;48;38.33;0;0;74.5;0;0;82.5;0;0;0;0;0;0;0;0;0;0;0.83;0;0.3;0;0;323;13;63;25;20;445
01/08/2010;0;0;0;0;0;41;29.5;40.33;34;20;58.25;68.25;0;65;0;0;0;0;0;0;33.2;0;0;0;0;0.7;0;0;0;0.6;292;12;57;23;18;402
01/09/2010;0;0;3;0;0;54.8;0;36;46.33;27.5;0;51.5;0;0;0;12.6;0;0;0;0;29.2;21.33;0;0;0;1.13;0;0;0;0;271;11;53;21;17;373
01/10/2010;0;0;4;0;0;65.7;53;0;60.33;36.5;27.25;37.75;0;0;37.5;0;0;0;0;0;0;0;0;0;0;1.4;0;0;0;0;305;13;59;24;19;420
01/11/2010;0;0;0;0;0;57.8;49.83;59;55.67;0;0;0;0;0;0;11.8;0;0;0;0;20.8;0;0;0;0;0;0;0;0;0;311;13;60;24;20;428
01/12/2010;12.75;12;0;0;0;62.4;55;66.67;58.67;37;0;23.25;0;0;0;0;0;0;0;0;0;16.33;0;0;0;1.7;0;0;0;0;342;14;66;27;21;470
01/01/2011;0;0;0;0;0;58.5;52.5;65.33;57.67;34.5;19.75;0;16.67;0;0;0;0;0;0;0;22.6;0;0;0;0;1.73;0;0;0;0;376;18;75;33;24;525
01/02/2011;0;0;0;0;0;68.2;0;68;62;0;0;31.25;0;0;0;0;0;0;0;0;26.6;0;0;0;0;1.67;0;0;0;0;327;15;65;29;21;456
01/03/2011;0;0;0;0;0;48.2;32.83;43.33;41.33;24.5;0;53.75;0;0;47.5;0;0;0;0;0;21.4;0;0;0;0;1.1;0;0;0;0;349;16;69;31;22;487
01/04/2011;5.5;0;0;0;0;46.6;0;45;38.67;20.5;53.5;0;0;71;0;0;0;0;0;0;30.6;0;0;0;0;0.87;0;0;0;0;315;15;63;28;20;440
01/05/2011;0;0;0;6.5;0;43.3;0;39.33;0;0;56;0;0;0;61.5;0;0;0;0;0;0;0;0;0;0;0.7;0;0;0;0;313;15;62;27;20;438
01/06/2011;0;0;0;0;0;43.9;30.83;0;0;0;0;0;0;77;0;0;0;0;0;0;26.2;0;0;0;0;0;0;0;0;0;303;14;60;27;19;423
01/07/2011;5.25;0;0;0;0;36.2;25.67;32.67;29;0;0;77.75;0;0;0;0;0;0;0;0;23.8;0;0;0;0;0;0;0;0;0;306;14;61;27;19;427
01/08/2011;0;0;0;0;0;38.3;31;35.67;33.67;19;0;0;0;67;0;0;0;0;0;0;27.2;0;0;0;0;0.63;0;0;0;0;304;14;60;27;19;425
01/09/2011;0;0;0;0;0;55.7;46;0;48.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0;0;292;14;58;26;18;408
01/10/2011;4.75;0;0;3.5;2;56.5;43;60.67;0;0;29.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33;0;0;0;0;339;16;67;30;21;473
01/11/2011;0;0;0;0;0;51.9;44.83;52;45.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346;16;69;30;22;484
01/12/2011;9.5;0;0;0;0;58.8;54.33;62.33;0;0;0;0;14.33;0;0;0;0;0;0;0;25.4;0;0;0;0;0;0;0;0;0;377;18;75;33;24;527
01/01/2012;0;0;0;0;0;60.9;56.83;70;0;0;12.25;17.75;11.33;0;0;0;0;0;0;0;0;0;0;0;0;1.77;0;0;0;0;452;23;93;37;32;638
01/02/2012;0;0;0;11.5;0;52.2;0;58.33;0;0;0;0;0;0;0;10.8;0;0;0;0;17.8;0;0;0;0;1.23;0;0;0;0;398;20;82;33;28;562
01/03/2012;0;0;0;0;0;0;39.83;51.33;41.67;0;40.25;45.25;0;0;0;0;0;0;0;0;24.8;0;0;0;0;0.97;0;0;0;0;389;20;80;32;27;549
01/04/2012;2.25;0;2.5;0;0;30.8;23.67;27.33;24.67;0;0;0;0;0;64.5;0;0;0;0;0;15.2;12.67;0;0;0;0.67;0;0;0;0;348;18;72;29;24;490
01/05/2012;0;0;0;0;0;37.7;28.33;35.33;28.67;0;0;57.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;349;18;72;29;24;493
01/06/2012;0;0;0;0;0;32.5;22.33;29.67;0;0;53.25;62.25;0;0;0;0;0;0;0;0;40.8;0;0;0;0;0;0;0;0;0;327;17;67;27;23;461
01/07/2012;0;0;0;0;0;34.6;0;32;26;0;0;0;0;0;0;0;0;0;0;0;32.6;0;0;0;0;0;0;0;0;0;325;17;67;27;23;459
01/08/2012;0;0;0;1.5;0;33.4;0;33.33;0;0;0;56.75;0;0;0;15.6;0;0;0;0;43.6;0;0;0;0;0;0;0;0;0;324;17;67;27;23;457
01/09/2012;0;0;0;0;0;39.3;0;0;30.33;17;45.75;0;0;0;55.5;0;0;0;0;0;24.2;0;0;0;0;1.03;0;0;0;0;300;15;62;25;21;424
01/10/2012;3.25;0;0;0;1;0;41.83;50.33;0;0;0;0;0;0;0;0;0;0;0;0;20.4;0;0;0;0;1.53;0;0;0;0;320;16;66;27;22;452
01/11/2012;0;0;0;0;0;45.3;36.33;47.33;39.67;19.5;21.25;27.75;0;0;0;10.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;344;18;71;28;24;485
01/12/2012;0;0;4.5;0;0;54.6;46.5;57.33;51;26.5;14.75;0;0;0;0;0;0;0;0;0;16.6;0;0;0;0;1.83;0;0;0;0;381;20;79;32;27;538
01/01/2013;6.75;0;0;0;0;49;0;50.67;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362;18;72;32;29;513
01/02/2013;6.25;0;0;0;0;43.5;35;0;0;18;32.25;37.25;0;0;0;9.2;0;0;0;0;0;10.67;0;0;0;1.27;0;0;0;0;327;16;65;29;26;463
